delay,întârziere
pat,pat
wings,aripi
direct,direct
gen,gen
textile,textile
toe,deget de la picior
fog,ceata
perfect,perfect
things,lucrurile
broadcast,difuzare
wan,wan
utilization,utilizare
stationery,papetarie
adoption,adoptarea
filing,depunerea
u,u
replica,replica
visa,visa
horizon,orizont
cork,plută
antarctica,antarctica
attach,atașați
falling,care se încadrează
board,bord
maldives,maldive
minnesota,minnesota
yemen,yemen
performer,interpret
declaration,declarația
species,specii
gale,gale
incredible,incredibil
widely,pe larg
c,c
behalf,numele
berry,berry
dress,rochie
reflected,reflectate
italian,italiană
tenant,chiriaș
legs,picioarele
extended,prelungit
dietary,alimentare
anticipated,anticipat
discharge,de descărcare de gestiune
snapshot,instantaneu
poultry,păsări de curte
act,act
tribune,tribune
lee,lee
void,void
fruit,fructe
reduction,reducere
middle,mijloc
stream,stream
brazilian,brazilian
praise,lauda
beach,plaja
inner,interior
informational,informaționale
liver,ficat
alto,alto
shell,shell
existing,existente
idol,idol
proportion,proporția
wing,aripa
validity,valabilitate
outstanding,restante
jordan,jordan
sent,trimis
archive,arhiva
seven,șapte
scheduling,programarea
cell,celula
federal,federal
preliminary,preliminare
munich,munchen
gambling,jocuri de noroc
wilson,wilson
naturally,în mod natural
host,gazdă
literally,literalmente
process,procesul
norwegian,norvegiană
relatively,relativ
citizen,cetățean
bother,deranjez
semiconductor,semiconductoare
reserve,rezerva
university,universitatea
mem,mem
editing,editare
hormone,hormon
london,londra
remainder,restul
edmonton,edmonton
divide,împărțiți
lucky,noroc
ordered,comandat
yen,yeni
brand,brand
intranet,intranet
astronomy,astronomie
vector,vector
hardware,hardware
earthquake,cutremur
watson,watson
pizza,pizza
exercise,exercițiu
block,bloc
machine,masina
respectively,respectiv
header,antet
voice,vocea
assured,asigurat
undertake,angajează
amber,amber
mind,mintea
ruth,ruth
arm,brațul
andrews,andrews
specified,se specifică
medicare,medicare
bridges,poduri
lab,laborator
florida,florida
modem,modem
shuttle,transfer
powerful,puternic
addition,plus
wooden,din lemn
pioneer,pioneer
latitude,latitudine
briefly,pe scurt
touched,atins
expand,extinde
perfectly,perfect
manual,manual
conflict,conflict
oregon,oregon
nitrogen,azot
truth,adevărul
charity,caritate
rim,rim
accomplished,realizat
youth,tineret
fire,foc
mobility,mobilitate
harmony,armonie
strap,curea
pursuit,urmărirea
data,date
manchester,manchester
fat,grăsime
aboriginal,aboriginal
gratis,gratis
legislation,legislația
equality,egalitatea
moon,luna
donna,donna
sure,sigur
actually,de fapt
bidding,licitația
unlikely,puțin probabil
cake,tort
zen,zen
attend,participa
handmade,manual
days,zile
amount,suma
orleans,orleans
cache,cache
canberra,canberra
awareness,conștientizarea
invisible,invizibil
castle,castelul
fuzzy,fuzzy
nancy,nancy
luther,luther
prize,premiul
pro,pro
heel,toc
ball,mingea
snake,snake
diet,dieta
divine,divin
happening,se întâmplă
flavor,aroma
fill,umple
matrix,matrix
graham,graham
wear,purta
broker,broker
scientist,om de știință
granny,bunica
toy,jucărie
parameter,parametru
marks,marks
recall,reamintim
minority,minoritate
organizer,organizator
fundamentals,fundamentele
tribute,tribut
discount,reducere
breakdown,defalcare
there,acolo
teaching,predare
example,exemplu
jones,jones
karen,karen
golf,golf
sweet,dulce
tribe,trib
long,mult
organizational,organizare
keep,păstrați
atomic,atomic
humor,umor
freelance,independent
mixture,amestec
prevention,prevenirea
toddler,copilul
l,am
dylan,dylan
refund,rambursare
weed,iarba
greenhouse,cu efect de seră
creek,creek
outdoors,în aer liber
easter,de paște
however,cu toate acestea
pipe,țeavă
fox,fox
imperial,imperial
o,o
richmond,richmond
occasions,ocazii
presently,în prezent
colonial,colonial
helena,helena
length,lungime
node,nod
marsh,marsh
vitamin,vitamina
success,succes
worst,mai rău
milan,milan
miller,miller
trek,trek
promotion,promovarea
wayne,wayne
determine,determina
marble,marmura
occasional,ocazional
york,york
pale,pal
collection,colectie
curve,curba
alternatively,alternativ
budapest,budapesta
plymouth,plymouth
url,url
java,java
peoples,popoarele
bracelet,bratara
acne,acnee
holiday,vacanta
experience,experienta
pot,oala
replacement,înlocuire
congress,congresul
findings,concluziile
soon,în curând
dump,groapa de gunoi
maple,maple
layout,layout
thursday,joi
camp,tabara
stem,stem
internship,internship
platform,platforma
census,recensământ
afternoon,după-amiază
superior,superior
northwest,nord-vest
blues,blues
peeing,pipi
juvenile,minori
enhance,spori
nevada,nevada
concern,preocuparea
boston,boston
surrey,surrey
handy,la îndemână
molecular,moleculară
restrict,limita
seating,relaxare
triangle,triunghi
talent,talent
arctic,arctic
duke,duke
stability,stabilitate
sunset,apus de soare
slow,lent
oil,ulei
railroad,calea ferată
fitted,montat
garage,garaj
alberta,alberta
assign,atribui
dimensional,dimensional
ea,ea
lie,minciuna
demonstration,demonstrație
five,cinci
lightning,fulger
startup,pornire
steam,steam
motivated,motivat
rap,rap
eight,opt
more,mai mult
base,baza
stupid,prost
refine,rafina
makeup,machiaj
preceding,precedent
chain,lanț
worship,cult
asp,fsa
handling,manipulare
emergency,de urgență
establishment,stabilirea
genre,gen
sake,dumnezeu
advised,sfătuiți
civic,civic
indonesia,indonezia
kruger,kruger
demand,cerere
orbit,orbita
clay,clay
therefore,prin urmare
crystal,cristal
istanbul,istanbul
deliver,livra
reader,cititor
fifth,a cincea
scholarship,bursa
garden,grădină
nashville,nashville
threat,amenințare
lover,iubitul
then,apoi
made,a făcut
suburban,tramvai
coupled,împreună
ecuador,ecuador
history,istoria
thorough,aprofundată
suffering,suferința
liberty,libertatea
residential,rezidential
disagree,nu sunt de acord
enable,permite
terror,teroare
retail,de vânzare cu amănuntul
gathering,colectarea
squad,echipa
measurement,măsurare
butler,butler
intake,aportul
midi,midi
calgary,calgary
used,folosit
consult,consulta
veterinary,veterinar
sense,sens
senate,senatul
cup,cupa
tournament,turneu
setting,setarea
domestic,interne
belize,belize
today,astăzi
such,astfel
sa,sa
air,aer
mill,moara
animation,animație
retain,retine
heaven,rai
reggae,reggae
shine,shine
pharmaceutical,farmaceutice
thousand,mii de
after,după
elite,elite
check,verifica
reporter,reporter
main,principalele
paul,paul
conventional,convenționale
adapted,adaptat
parish,parohia
turner,turner
survival,supraviețuire
wed,wed
symphony,simfonia
polar,polar
greatest,cea mai mare
foundation,fundația
saskatchewan,saskatchewan
lobby,lobby
macedonia,macedonia
explore,explora
rome,roma
send,trimite
bikini,bikini
survey,sondaj
needle,ac
phantom,phantom
panic,panica
simulation,simulare
acer,acer
be,fi
congressional,congresului
denmark,danemarca
liberal,liberal
strictly,strict
artistic,artistic
static,static
sister,sora
usage,utilizare
lexington,lexington
hobby,hobby
confirmed,confirmat
survivor,survivor
burner,arzător
proud,mândru
retro,retro
arrange,aranja
avoid,evita
private,privat
enforcement,de aplicare a legii
dynamics,dinamica
attempt,încercare
chassis,șasiu
arrest,arestarea
wales,țara galilor
simon,simon
tribal,tribal
airport,aeroport
dublin,dublin
medication,medicamente
headquarters,sediul
premiere,premiera
claim,cerere
force,vigoare
girl,fata
formation,formarea
patrol,patrula
located,situat
essential,esențial
musician,muzician
arena,arena
possession,posesia
calibration,calibrare
relief,relief
pod,pod
morrison,morrison
surprise,surpriza
springer,springer
hayes,hayes
chicken,pui
eyes,ochii
receive,primi
aged,în vârstă de
monthly,lunar
can,poate
setup,setup
pregnancy,timpul sarcinii
tolerance,toleranță
chester,chester
pen,pen
singapore,singapore
desire,dorința
idea,ideea
probably,probabil
session,sesiune
former,fostul
measured,măsurată
instrumentation,instrumentație
mid,mid
asthma,astm
odds,cote
category,categorie
become,deveni
necklace,colier
thermal,termică
moment,moment
respiratory,respiratorii
conditions,condiții
pie,placinta
behavioral,comportamentale
traffic,trafic
tied,legat
deal,afacere
testing,testarea
strange,ciudat
spanish,spaniolă
hybrid,hibrid
nelson,nelson
recording,înregistrare
lonely,singur
automated,automat
cooked,fierte
increased,a crescut
radical,radical
pool,piscină
arab,arab
dam,baraj
prairie,prairie
podcast,podcast
build,construi
watt,watt
concord,concord
choice,alegerea
zero,zero
thailand,thailanda
beautiful,frumos
nail,unghii
judicial,judiciare
freeware,gratuit
guide,ghid
acquisition,achizitie
brilliant,genial
sacramento,sacramento
montgomery,montgomery
marina,marina
being,fiind
effective,eficient
livestock,animale
stud,stud
snowboard,snowboard
resolution,rezoluție
humidity,umiditate
systematic,sistematică
lingerie,lenjerie
intend,intenționează
flower,flori
widespread,pe scară largă
regularly,cu regularitate
harry,harry
link,link-ul
brush,perie
understand,înțeles
korean,coreeană
doctrine,doctrina
transportation,transport
bush,bush
sampling,prelevarea de probe
give,da
citizenship,cetățenie
consecutive,consecutiv
poem,poem
wages,salariile
film,film
some,unele
dial,dial
finland,finlanda
deny,neg
electron,electron
tractor,tractor
paradise,paradis
membrane,membrana
direction,direcția
restaurant,restaurant
tampa,tampa
sell,vinde
organized,organizat
casual,casual
baking,de copt
ear,ureche
destiny,destinul
removable,detașabil
overhead,deasupra capului
so,deci
fee,taxa
bumper,bara
organic,organic
performance,performanta
moderator,moderator
rice,orez
failure,eșec
injured,răniți
wichita,wichita
lime,var
challenging,provocatoare
battlefield,câmpul de luptă
radar,radar
scanning,scanare
exhibition,expoziție
parker,parker
geology,geologie
improvement,îmbunătățirea
damage,daune
geographic,geografice
analyst,analistul
loved,iubit
bedroom,dormitor
steel,oțel
join,alăturați-vă
simple,simplu
circumstances,circumstanțele
branch,sucursala
following,următoarele
processed,prelucrate
shaw,shaw
bizarre,bizar
attended,au participat
camel,cămilă
marriage,căsătorie
os,sistemul de operare
boring,plictisitor
chorus,cor
loop,bucla
throw,arunca
battle,lupta
folks,oameni buni
segment,segment
translator,translator
alexandria,alexandria
olympus,olympus
answer,răspunsul
surname,nume de familie
feel,simt
marking,marcarea
metallic,metalice
lewis,lewis
subscriber,abonat
scoop,scoop
string,string
statement,declarație
beyond,dincolo de
tissue,țesut
thesaurus,tezaur
hot,fierbinte
angel,angel
ka,ka
affiliated,afiliat
collective,colectiv
corrected,corectat
ross,ross
plaintiff,reclamant
rush,rush
means,înseamnă
eat,mananca
sort,fel
city,city
enjoy,bucurați-vă de
cook,cook
packing,ambalare
skating,patinaj
trap,capcana
barn,hambar
china,china
course,desigur
peninsula,peninsula
blocking,blocarea
hereby,prin prezenta
disclaimer,disclaimer
pharmacy,farmacie
audit,audit
officer,ofițer
benefit,beneficii
customize,personaliza
excel,excel
xi,xi
twin,twin
basis,baza
madonna,madonna
musical,muzicale
modern,modern
planning,planificarea
guatemala,guatemala
samuel,samuel
transaction,tranzacție
specifically,în mod special
cisco,cisco
advertise,publicitate
grade,clasa
cash,bani
italy,italia
useful,util
quest,quest
stuffed,umplute
context,contextul
furthermore,în plus
set,set
encouraging,încurajarea
climb,urca
involve,implica
liverpool,liverpool
vote,vot
infinite,infinit
people,oamenii
back,înapoi
boss,seful
retirement,pensionare
documented,documentate
gospel,evanghelia
namely,și anume
manor,manor
genealogy,genealogie
hint,indiciu
fan,fan
locally,la nivel local
rehabilitation,reabilitare
proudly,cu mândrie
custody,custodie
yellow,galben
arch,arc
properly,în mod corespunzător
service,servicii
greatly,foarte mult
isle,insula
tube,tub
yang,yang
importantly,important
piece,bucata
cult,cult
faq,faq
decent,decent
anchor,ancora
selling,de vânzare
frame,cadru
secret,secret
submit,trimite
bibliography,bibliografie
auditor,auditor
bank,banca
tuition,de școlarizare
coin,moneda
graph,graficul
defined,definit
shopper,cumparator
epic,epic
popularity,popularitatea
crown,coroana
confidential,confidențiale
arrangement,aranjament
jurisdiction,competența
wood,lemn
omaha,omaha
reverse,invers
wiring,cabluri
ohio,ohio
constitution,constituția
share,cota
kitty,kitty
level,nivelul
income,venituri
mi,mi
resource,resurse
consider,ia în considerare
kit,kit
chief,șef
drawing,desen
insight,insight
completion,finalizarea
enhanced,îmbunătățită
mandate,mandatul
bath,baie
cast,distributie
volt,volt
belarus,belarus
event,eveniment
contained,conținute
serious,serios
pack,pachet
details,detalii
re,re
default,default
turkey,turcia
screw,șurub
associate,asociat
generally,în general
extensive,extinse
henry,henry
pharmacology,farmacologie
austria,austria
integral,integrantă
scroll,scroll
r,r
academic,academic
darkness,întuneric
somerset,somerset
mild,ușoară
handled,manipulate
malawi,malawi
incomplete,incomplete
crash,accident
tragedy,tragedie
n,n
accessible,accesibil
meat,carne
compatible,compatibil
huntington,huntington
prostate,prostata
offset,offset
creature,creatura
speaker,difuzor
electronic,electronice
nice,frumos
higher,mai mare
conclusion,concluzie
authentication,autentificare
identification,identificarea
municipal,municipal
tons,tone
bermuda,bermuda
raise,ridica
borough,borough
russian,rusă
pediatric,pediatrie
virus,virus
civilization,civilizație
northern,nord
ambient,ambient
addressed,abordate
map,harta
detail,detalii
tend,tind
ben,ben
damaged,deteriorat
bus,autobuz
skin,pielea
jimmy,jimmy
syntax,sintaxa
playing,joc
overview,privire de ansamblu
airplane,avion
cardiff,cardiff
suggestion,sugestie
justice,justiție
scenario,scenariu
orange,orange
seem,par
ugly,urât
measure,măsura
lecture,prelegere
increasingly,din ce în ce mai
bacteria,bacterii
cricket,cricket
thesis,teza
device,dispozitiv
arizona,arizona
drill,burghiu
screen,ecran
bad,rău
tanzania,tanzania
booth,booth
replace,înlocuiți
michigan,michigan
adjacent,adiacente
vintage,vintage
dream,vis
rarely,rar
probe,sonda
lp,lp
willing,dispus
protocol,protocol
regard,sens
fresh,proaspete
carter,carter
seed,semințe
sap,sap
age,varsta
hall,sala
educational,de învățământ
salt,sare
fellow,colegii
killing,uciderea
baltimore,baltimore
celebrity,celebritate
triple,triplă
insertion,inserție
hometown,orașul natal
six,șase
experiment,experiment
kazakhstan,kazahstan
jar,borcan
australia,australia
plant,planta
illustration,ilustrare
locate,localiza
always,mereu
athens,atena
spectacular,spectaculos
password,parola
cattle,bovine
champagne,șampanie
soundtrack,coloana sonora
transsexual,transsexual
capability,capacitatea de
both,ambele
insulin,insulina
reliable,încredere
traveler,călător
baker,baker
cancel,anula
suspended,suspendat
placement,plasarea
determined,determinată
future,viitor
swedish,suedeză
dynamic,dinamic
y,y
theology,teologie
possibly,eventual
promise,promit
allocation,alocarea
consolidation,consolidare
accused,acuzat
balance,echilibrul
handed,dat
separation,separarea
stocks,stocurile
warning,avertizare
invasion,invazia
collector,colector
daniel,daniel
jazz,jazz
reserved,rezervate
studied,a studiat
regional,regionale
ocean,ocean
assess,evaluarea
tracked,senile
reputation,reputația
content,conținutul
width,lățime
denial,negare
tab,tab
pop,pop
first,prima
taste,gust
silly,prostie
choose,alege
spyware,spyware
commissioner,comisarul
stewart,stewart
potato,cartofi
gather,aduna
reproduce,reproduc
permanent,permanent
forty,patruzeci de
treasury,trezorerie
nuclear,nucleare
luxembourg,luxemburg
speed,viteza
sexual,sexuale
operations,operațiunile
unemployment,șomajul
workshop,atelier
distribution,distribuție
dependent,dependente
edge,marginea
connecticut,connecticut
sufficiently,suficient
lemon,lamaie
member,membru
forge,forge
available,disponibil
eleven,unsprezece
chapel,capela
exterior,exterior
plaza,plaza
byte,byte
cost,costul
edit,edit
bowl,castron
fifty,cincizeci de
caution,atenție
very,foarte
toner,toner
pierre,pierre
marked,marcat
instructional,de instruire
gender,gen
hello,salut
thus,astfel
independence,independența
handle,mâner
commons,commons
governor,guvernatorul
wake,trezire
bunny,bunny
candy,bomboane
outer,exterior
parcel,coletul
flooring,podele
announced,a anunțat
somewhere,undeva
organization,organizarea
struggle,lupta
ph,ph
encourage,încuraja
glossary,glosar
unknown,necunoscut
diameter,diametru
cleanup,curatare
giving,da
rent,chirie
playback,redare
mills,mills
crowd,mulțimea
polyester,poliester
transform,transforma
explain,explica
bow,arc
contributor,colaborator
decide,decide
explorer,explorer
gauge,ecartament
ancient,vechi
officially,oficial
tourist,turistice
mount,muntele
dish,fel de mâncare
pending,în așteptarea
district,district
yeast,drojdie
rank,rang
pit,pit
labor,forței de muncă
breakfast,mic dejun
anniversary,aniversare
better,mai bine
intersection,intersecția
destination,destinație
lyric,lyric
tuner,tuner
tap,apăsați
blake,blake
spy,spy
president,președintele
miracle,miracol
metric,metric
hop,hop
conference,conferință
memo,memo
liked,placut
horn,corn
ate,a mâncat
blow,lovitură
statutory,statutar
queue,coada
grand,grand
egypt,egipt
arthur,arthur
utah,utah
joyce,joyce
thomas,thomas
disable,dezactivați
honey,miere
module,modulul
toolbox,toolbox
sophisticated,sofisticat
shower,duș
aruba,aruba
roof,acoperiș
panel,panou
suddenly,dintr-o dată
regression,regresie
together,împreună
sellers,vanzatori
laptop,laptop
sarah,sarah
myanmar,myanmar
diploma,diploma
readily,ușor
wound,rana
real,real
globe,glob
plasma,plasma
compete,concura
vietnam,vietnam
extension,extensia
vocational,profesională
protest,protest
laughing,râzând
newton,newton
intervention,intervenție
factory,fabrica
crack,crack
matched,potrivit
drama,drama
essence,esența
numerous,numeroase
immune,imunitar
pavilion,pavilion
hawk,hawk
cable,cablu
tight,strans
essex,essex
favor,serviciu
france,franța
tree,copac
collar,guler
mounting,montare
sessions,sesiuni
todd,todd
originally,inițial
scene,scena
open,deschide
biotechnology,biotehnologie
inspiration,inspirație
apparatus,aparate
theater,teatru
gay,gay
assume,presupun
junk,junk
anger,furia
supervisor,supervizor
common,comune
terrorist,terorist
huge,mare
street,strada
remedy,remediu
agent,agent
syndrome,sindromul
monroe,monroe
columbus,columbus
leading,lider
tucson,tucson
programmer,programator
everyday,de zi cu zi
payment,plata
upgrade,upgrade
alcohol,alcool
liable,responsabil
atlas,atlas
examine,examina
surfing,surfing
genius,geniu
fact,faptul
focal,focal
values,valorile
longitude,longitudine
slight,ușoară
baghdad,bagdad
boundary,limita
language,limba
lambda,lambda
speech,discursul
magnetic,magnetic
fields,domenii
adelaide,adelaide
viral,virale
unit,unitate
preservation,conservarea
wired,cu fir
brown,maro
mixer,mixer
exact,exact
cooler,cooler
suitable,potrivit
lay,pune
flag,steagul
changing,schimbarea
desert,desert
supposed,ar trebui
pond,iaz
shape,forma
transport,transport
entirely,în întregime
league,liga
karma,karma
feelings,sentimentele
speaking,vorbind
chen,chen
apple,apple
rain,ploaie
excited,entuziasmat
alternative,alternative
siemens,siemens
sleeve,maneca
dealer,dealer
wrapped,înfășurat
exhibit,proba
assumption,ipoteza
coordinate,coordonate
many,multe
satisfy,satisface
toxic,toxice
dawn,zori
worm,worm
beef,carne de vită
smoking,fumatul
store,magazin
romance,dragoste
strongly,puternic
inappropriate,nepotrivit
dressing,dressing
avatar,avatar
prison,închisoare
melbourne,melbourne
happy,fericit
jack,jack
bind,lega
vancouver,vancouver
opinion,opinia
laundry,spălătorie
faith,credința
conjunction,colaborare
additionally,în plus
aquarium,acvariu
character,personajul
securely,în condiții de siguranță
occurrence,apariția
necessarily,neapărat
maria,maria
protein,proteine
keen,keen
win,câștiga
overcome,depăși
vat,tva
preference,preferința
master,master
linux,linux
exposed,expuse
refrigerator,frigider
vinyl,vinil
state,de stat
tokyo,tokyo
spray,spray
reviewer,referent
terrace,terasă
phenomenon,fenomen
medicaid,medicaid
painful,dureros
family,familia
dryer,uscător de
artist,artist
trial,proces
premier,premier
reprint,retipărire
jesus,isus
devoted,dedicat
gun,arma
vacation,vacanta
pledge,gaj
dayton,dayton
egg,ou
decade,deceniu
ceramic,ceramica
thrown,aruncat
e,e
area,zona
unable,în imposibilitatea de
amino,amino
sustained,susținută
powell,powell
stroke,accident vascular cerebral
leo,leo
certain,anumite
rogers,rogers
collapse,colaps
dependence,dependența
instrument,instrument
snap,snap
referral,sesizare
brake,frână
effect,efect
monkey,maimuta
address,adresa
laser,laser
bee,de albine
immediate,imediat
north,nord
charleston,charleston
dock,doc
activity,activitate
firm,firma
idle,inactiv
opposed,spre deosebire
coordinator,coordonator
theoretical,teoretic
divided,împărțit
knight,cavaler
improved,îmbunătățit
original,original
world,lumea
iceland,islanda
fall,toamna
maximum,maxim
tunisia,tunisia
expect,astept
kansas,kansas
belt,centura
election,alegeri
loud,tare
redeem,răscumpăra
issue,problema
altered,modificat
cute,drăguț
sitting,stând
throughout,de-a lungul
modified,modificat
journey,călătorie
find,găsi
office,birou
patio,patio
spell,vraja
burn,arde
bunch,buchet
aggressive,agresiv
egyptian,egiptean
expressed,și-a exprimat
frog,broasca
adapter,adaptor
incoming,intrare
defense,apărare
neither,nici
attached,atașat
contamination,contaminarea
unnecessary,inutile
brain,creierul
tom,tom
dispatch,expediere
flexible,flexibil
chronicle,cronica
found,găsit
mediterranean,marea mediterană
upper,superioară
database,baza de date
clearance,clearance-ul
arrive,ajunge
azerbaijan,azerbaidjan
demanding,exigente
pollution,poluarea
controversy,controverse
close,aproape
shadow,umbra
null,null
cologne,koln
distinguished,distins
coastal,de coastă
senior,senior
trace,urmă
mattress,saltea
conspiracy,conspirație
argument,argument
noble,nobil
holmes,holmes
lap,tur
blowing,suflare
french,franceză
aggregate,agregate
acrobat,acrobat
mean,spun
variable,variabila
smooth,buna
america,america
previously,anterior
politics,politica
armstrong,armstrong
restriction,restricție
western,vest
disturbed,deranjat
fare,tarif
romantic,romantic
rocket,racheta
flame,flacăra
license,de licență
severe,severe
worse,mai rău
cassette,caseta
marketing,marketing
craps,craps
rail,feroviar
trademark,marca
silver,argint
comply,a se conforma
penguin,pinguin
country,tara
true,adevărat
fitting,montaj
kiss,sărut
done,făcut
front,fata
wedding,nunta
banned,interzis
know,stiu
accommodation,cazare
field,domeniul
continue,continua
crucial,crucial
legally,din punct de vedere legal
newark,newark
assumed,presupune
adjusted,ajustat
transmission,transmisie
arthritis,artrita
though,deși
harbor,harbor
victory,victoria
herein,aici
adverse,adverse
brief,scurtă
invitation,invitație
promotional,promovare
consequence,consecință
pressed,presat
shift,shift
hunter,hunter
mechanical,mecanice
passport,pașaport
canada,canada
thereafter,ulterior
policy,politica
establish,stabilirea
mate,amice
assignment,misiune
stevens,stevens
interim,interimar
silicon,silicon
absolute,absolut
ambassador,ambasadorul
phone,telefon
delta,delta
proprietary,de proprietate
couple,cuplu
paper,hârtie
shaped,în formă de
executed,executat
residence,residence
duplicate,duplicat
chart,graficul
advantage,avantaj
british,britanic
united,statele unite
below,mai jos
sprint,sprint
afford,permite
prompt,prompt
disco,disco
newcastle,newcastle
looking,căutarea
continuing,continuarea
dip,dip
settlement,de decontare
live,live
rep,rep
remain,rămâne
general,general
utilize,utiliza
austin,austin
destroy,distruge
seafood,fructe de mare
multimedia,multimedia
described,descris
cartridge,cartuș
fixed,fix
slightly,ușor
primary,primar
call,apel
cutting,tăiere
bring,aduce
absolutely,absolut
profile,profil
johns,johns
similar,similare
explanation,explicație
appreciated,apreciat
reel,tambur
newspaper,ziarul
supplement,supliment
diana,diana
milton,milton
strike,grevă
owner,proprietar
insulation,izolare
dominant,dominantă
external,extern
adjust,reglați
proxy,proxy
given,dat
saudi,arabia
bahamas,bahamas
reduce,reduce
bottle,sticla
aurora,aurora
sustainability,durabilitatea
hypothetical,ipotetic
kentucky,kentucky
bearing,rulment
berlin,berlin
swim,înot
natural,naturale
pass,trece
seek,cauta
nation,națiune
psychological,psihologic
selective,selectiv
coverage,acoperire
outline,schiță
cad,cad
theme,tema
artificial,artificiale
contrast,contrast
spin,spin
knit,tricot
undefined,nedefinit
invite,invita
oliver,oliver
boy,băiatul
unique,unic
patch,patch
submission,prezentarea
perfume,parfum
pakistan,pakistan
subjective,subiectiv
extra,în plus
picking,cules
actress,actrita
reform,reforma
isolated,izolat
parliamentary,parlamentare
timer,timer
oklahoma,oklahoma
ce,ce
scale,scara
synthetic,sintetic
violence,violența
broke,rupt
gate,poarta
po,po
supreme,suprem
forwarding,transmiterea
great,mare
moved,s-a mutat
warrior,warrior
beast,bestia
norman,norman
ecology,ecologie
bryan,bryan
herald,herald
liquid,lichid
appointed,numit
minister,ministrul
mud,noroi
g,g
ping,ping
honest,sincer
standard,standard
hair,parul
lord,domnul
valid,valabil
scholar,savant
significant,semnificative
pendant,pandantiv
daily,de zi cu zi
greece,grecia
halo,halo
blood,sânge
boards,placi
repeat,repet
prepared,pregătit
panama,panama
arrow,săgeată
cosmetic,cosmetice
nicholas,nicolae
isolation,izolarea
resolve,rezolva
soft,moale
academy,academia
sport,sport
expression,expresia
depth,adâncime
deposit,depozit
tiffany,tiffany
fisher,fisher
minimize,minimiza
pretty,destul de
automatic,automata
significantly,în mod semnificativ
interference,interferențe
columbia,columbia
forced,forțat
complicated,complicat
mess,mizerie
p,p
sugar,zahăr
camping,camping
popular,populare
subsection,subsecțiunea
rack,rack
remains,rămâne
charge,taxa
experimental,experimental
aware,conștienți
atom,atom
frozen,congelate
design,design
bored,plictisit
lebanon,liban
use,utilizarea
achieve,atinge
correction,corecție
freely,liber
ending,se încheie
skilled,calificați
football,fotbal
word,cuvântul
windows,windows
all,toate
feed,hrana
hydraulic,hidraulice
classroom,clasă
mailman,poștașul
round,runda
thick,gros
hunger,foamea
recover,recupera
seattle,seattle
tongue,limba
partition,partiție
florist,florar
fully,complet
comic,benzi desenate
reservation,rezervare
rational,rațional
national,național
music,muzica
weak,slab
lid,capac
slope,panta
calcium,calciu
w,w
gold,aur
israel,israel
security,de securitate
robinson,robinson
nasty,urât
yorkshire,yorkshire
revised,revizuit
optional,opțional
cream,crema
creativity,creativitatea
identical,identice
elementary,elementare
county,județul
loan,împrumut
chemistry,chimie
butterfly,fluture
import,import
customs,vamale
trance,trance
deer,cerb
eclipse,eclipsa
directory,director
trail,traseu
usual,de obicei
cooperative,de cooperare
christmas,de crăciun
vegetable,legume
sculpture,sculptura
undergraduate,de licență
series,seria
hurt,rănit
traditional,tradiționale
august,august
dutch,olandeză
closer,mai aproape
indicate,indica
indonesian,indoneziană
developing,în curs de dezvoltare
ceiling,plafon
account,contul
cycle,ciclul
expense,cheltuieli
feedback,feedback-ul
informal,informale
bread,pâine
violin,vioara
atmosphere,atmosfera
photographer,fotograf
searching,căutarea
cape,cape
corporate,corporate
equation,ecuația
wallet,portofel
proof,dovada
written,scris
ozone,ozon
stop,stop
wells,wells
labeled,etichetat
disclose,dezvăluie
inspection,inspecție
timely,în timp util
institution,instituția
floating,plutitoare
pixel,pixel
contain,conține
specialized,de specialitate
dame,dame
geometry,geometrie
roll,rola
yesterday,ieri
love,dragoste
oasis,oasis
maine,maine
japan,japonia
korea,coreea
fuel,combustibil
resume,cv-ul
sherman,sherman
serum,ser
raid,raid
carry,transporta
empty,gol
slave,sclav
motorcycle,motocicleta
grab,apuca
norway,norvegia
subscription,abonament
covering,acoperă
printer,imprimanta
obligation,obligația de
skip,skip
translate,traduce
hold,țineți
pasta,paste
amazing,uimitor
precisely,exact
paid,plătit
rider,rider
pick,alege
fallen,căzut
industry,industria
worry,vă faceți griji
fear,frica
post,post
klein,klein
trade,comerț
yale,yale
unlike,spre deosebire de
fantastic,fantastic
uzbekistan,uzbekistan
simplified,simplificat
mod,mod
underlying,de fond al sistemului
simultaneously,simultan
digest,digest
physiology,fiziologie
calm,calm
remember,amintiți-vă
taylor,taylor
wool,lână
configuration,configurare
orchestra,orchestra
wyoming,wyoming
finnish,finlandeză
protect,proteja
harvest,recolta
poor,săraci
constitutional,constituționale
clip,clip
realtor,agent imobiliar
departure,plecare
seasonal,de sezon
crawford,crawford
vegetarian,vegetarian
bacon,bacon
latex,latex
appraisal,evaluare
purchase,cumpărare
commit,comite
break,pauza
fewer,mai puține
operational,operaționale
lotus,lotus
enter,intra
receptor,receptor
lose,pierde
any,orice
prospect,prospect
reflection,reflecție
spare,schimb
situation,situația
extreme,extreme
poverty,sărăcia
hurricane,uraganul
tuning,tuning
pottery,ceramica
john,john
present,prezent
spoke,a vorbit
trauma,trauma
latest,cele mai recente
pure,pur
index,index
assets,active
war,război
twenty,douăzeci de
detective,detectiv
wilderness,pustie
attribute,atribut
blend,amestec
grad,grad
affair,aventura
southwest,sud-vest
rotary,rotary
tire,anvelope
